รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.
9,ชัยภูมิ,โรงพยาบาลซับใหญ่,SUBYAI HOSPITAL,4007,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
4,พระนครศรีอยุธยา,โรงพยาบาลพระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA HOSPITAL,10660,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
4,สระบุรี,โรงพยาบาลสระบุรี,SARABURI HOSPITAL,10661,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,ชลบุรี,โรงพยาบาลชลบุรี,CHONBURI HOSPITAL,10662,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,ระยอง,โรงพยาบาลระยอง,RAYONG HOSPITAL,10663,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,จันทบุรี,โรงพยาบาลพระปกเกล้า,PRAPOKKLAO HOSPITAL,10664,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
6,ปราจีนบุรี,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,CHAOPHYA ABHAI BHUBEJHR HOSPITAL ,10665,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
9,นครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา,MAHARAT NAKHON RATCHASIMA HOSPITAL,10666,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
9,บุรีรัมย์,โรงพยาบาลบุรีรัมย์,BURIRAM HOSPITAL,10667,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
9,สุรินทร์,โรงพยาบาลสุรินทร์,SURIN HOPITAL,10668,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
10,อุบลราชธานี,โรงพยาบาลสรรพสิทธิประสงค์,SUNPASITTHIPRASONG HOSPITAL,10669,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
7,ขอนแก่น,โรงพยาบาลขอนแก่น,KHONKAEN HOSPITAL,10670,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
8,อุดรธานี,โรงพยาบาลอุดรธานี,UDONTHANI HOSPITAL,10671,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
1,ลำปาง,โรงพยาบาลลำปาง,LAMPANG HOSPITAL,10672,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
2,อุตรดิตถ์,โรงพยาบาลอุตรดิตถ์,UTTARADIT HOSPITAL,10673,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
1,เชียงราย,โรงพยาบาลเชียงรายประชานุเคราะห์,CHIANGRAI PRACHANUKROH HOSPITAL,10674,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
3,นครสวรรค์,โรงพยาบาลสวรรค์ประชารักษ์,SAWANPRACHARAK HOSPITAL,10675,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
2,พิษณุโลก,โรงพยาบาลพุทธชินราช พิษณุโลก,BUDDHACHINARAJ  PHITSANULOK  HOSPITAL,10676,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
5,ราชบุรี,โรงพยาบาลราชบุรี,RATCHABURI HOSPITAL,10677,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
5,สุพรรณบุรี,โรงพยาบาลเจ้าพระยายมราช,CHAOPHRAYA YOMMARAT HOSPITAL,10678,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
5,นครปฐม,โรงพยาบาลนครปฐม,NAKHONPATHOM HOSPITAL,10679,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
11,นครศรีธรรมราช,โรงพยาบาลมหาราชนครศรีธรรมราช,MAHARAJ NAKHON SI THAMMARAT HOSPITAL,10680,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
11,สุราษฎร์ธานี,โรงพยาบาลสุราษฎร์ธานี,SURATTHANI HOSPITAL,10681,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
12,สงขลา,โรงพยาบาลหาดใหญ่,HATYAI HOSPITAL,10682,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.)
